geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US90048,90048,22722,828,20621,852,17007,838,548,221,35,48,2078,379,12,18,45,46,896,229,121,99,775,218,2101,473,1175,418,10,15,0,22,5,7,0,22,698,218,213,141,147,126,66,68
86000US90049,90049,35581,878,33494,844,28582,979,446,223,11,19,3216,412,0,25,29,26,1210,274,31,38,1179,267,2087,390,1572,324,18,19,63,79,12,15,0,25,269,114,153,92,42,43,111,69
86000US90056,90056,8118,719,7465,710,1011,283,5938,766,0,17,272,132,0,17,0,17,244,157,0,17,244,157,653,314,341,225,118,112,0,17,0,17,0,17,127,115,67,77,24,39,43,70
86000US90057,90057,48302,1334,14684,796,2579,308,2059,352,17,19,9526,742,31,31,84,60,388,151,65,74,323,136,33618,1223,10310,1122,134,90,406,263,72,48,0,25,22309,1386,387,165,259,121,128,119
86000US90058,90058,2674,565,379,145,90,52,192,95,0,12,84,83,0,12,0,12,13,16,0,12,13,16,2295,568,1041,428,20,24,0,12,0,12,0,12,1195,476,39,43,25,24,14,21
86000US90059,90059,46027,1944,15378,1336,368,211,14167,1315,13,14,327,223,0,25,262,220,241,129,66,71,175,90,30649,1904,17199,1970,242,124,53,63,0,25,65,100,12137,1434,953,298,555,249,398,225
86000US90061,90061,27203,1198,10072,881,179,81,9484,845,30,39,76,61,7,10,59,99,237,163,13,21,224,161,17131,1261,8633,1296,159,121,133,148,0,22,0,22,7889,999,317,166,234,143,83,73
86000US90062,90062,33690,1673,12336,998,322,131,10713,1012,0,25,389,188,78,73,452,277,382,169,109,89,273,134,21354,1607,6078,1157,453,248,115,114,0,25,0,25,14420,1349,288,137,192,96,96,102
86000US90063,90063,54142,1592,1961,400,800,253,205,153,19,18,701,227,22,35,105,77,109,63,9,14,100,62,52181,1686,21308,1436,78,64,147,97,64,70,2,9,29947,1918,635,230,424,177,211,146
86000US90064,90064,27032,1078,23365,1000,16591,861,994,325,10,15,4777,559,85,85,64,52,844,218,53,48,791,227,3667,574,2821,550,30,47,79,69,19,25,0,22,568,268,150,121,86,74,64,93
86000US90065,90065,46965,1504,17904,907,9034,577,778,234,0,25,7180,639,29,30,73,66,810,235,30,30,780,230,29061,1262,15843,1285,141,87,469,220,305,183,0,25,11511,1003,792,299,349,152,443,241
86000US90066,90066,59258,1263,41465,1048,27870,1030,1945,398,145,85,8422,782,90,52,274,163,2719,399,96,55,2623,396,17793,1227,8676,1003,109,81,1522,610,99,70,0,28,6131,991,1256,411,764,317,492,217
86000US90067,90067,2355,330,2316,331,1801,307,6,15,0,12,453,96,28,47,0,12,28,46,0,12,28,46,39,37,30,27,0,12,0,12,0,12,0,12,0,12,9,15,0,12,9,15
86000US90068,90068,21450,938,19424,922,15996,889,700,258,40,51,1549,363,8,13,74,61,1057,259,47,53,1010,245,2026,370,966,248,0,22,45,55,20,32,0,22,671,232,324,164,213,121,111,94
86000US90069,90069,20435,784,17948,788,14614,828,994,322,31,39,1266,333,32,52,138,96,873,257,77,79,796,259,2487,603,1179,384,26,38,31,36,36,41,26,42,854,337,335,171,225,149,110,96
86000US90071,90071,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US90073,90073,915,410,742,315,333,137,321,179,0,12,53,43,2,4,11,25,22,35,0,12,22,35,173,120,124,99,11,24,4,9,4,9,0,12,24,34,6,13,0,12,6,13
86000US90077,90077,8912,568,8236,536,6845,516,213,155,0,17,863,262,0,17,18,28,297,138,14,22,283,133,676,323,558,318,0,17,0,17,0,17,0,17,63,59,55,44,55,44,0,17
86000US90079,90079,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US90089,90089,3680,562,3267,513,1576,314,200,100,5,10,1246,265,24,20,36,29,180,64,28,27,152,63,413,149,190,109,0,12,0,12,6,11,0,12,191,82,26,24,20,22,6,10
86000US90090,90090,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US90094,90094,8072,789,7215,767,3672,583,1033,360,0,17,2205,613,0,17,0,17,305,150,13,21,292,148,857,238,392,159,20,32,0,17,14,22,0,17,213,156,218,148,124,160,94,88
86000US90095,90095,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US90210,90210,20957,862,19981,896,17079,917,250,108,8,13,2020,522,0,22,118,186,506,218,67,69,439,201,976,240,599,196,0,22,0,22,0,22,0,22,186,119,191,178,191,178,0,22
86000US90211,90211,8129,528,7522,512,6178,482,129,121,9,14,912,171,9,15,0,17,285,129,0,17,285,129,607,229,417,158,0,17,0,17,0,17,0,17,155,126,35,50,35,50,0,17
86000US90212,90212,12915,736,12067,780,10110,921,107,79,12,20,933,344,0,19,26,47,879,409,135,150,744,373,848,287,519,224,17,25,12,19,0,19,0,19,184,145,116,103,32,48,84,97
86000US90230,90230,32692,851,21892,894,12610,955,2708,617,23,32,5164,614,22,23,304,201,1061,259,16,28,1045,265,10800,897,7894,934,46,51,208,189,42,48,0,25,2208,467,402,199,196,136,206,146
